@relation semantic-similarity

@attribute paragraphVec REAL
@attribute qGram	REAL
@attribute combinedOntologyMethod	REAL
@attribute class	REAL

@data
0.8433306092403589,0.5133689641952515,0.484297027,4.0
0.7777945273467922,0.36178863048553467,0.2605503382,3.0
0.613159196073324,0.2536023259162903,0.1901063981,2.2
0.877335769081198,0.4435797929763794,0.3543028277,3.2
0.8646339586987613,0.39204543828964233,0.3320792474,3.2
0.7878352638933687,0.33249372243881226,0.2130332997,3.2
0.6269290730359367,0.15540540218353271,0.2135127784,1.4
0.7813028798566044,0.3099631071090698,0.3830853914,3.0
0.5914289333880964,0.1927710771560669,0.2402415415,1.4
0.7466930236056153,0.28431373834609985,0.3322299009,3.0
0.7456407254103063,0.3820754885673523,0.3816593731,3.0
0.6509511767229227,0.13013696670532227,0.126566624,1.0
0.8165312352680263,0.23529410362243652,0.3137020713,3.0
0.6984052906577725,0.3631284832954407,0.3362811513,2.0
0.9037527457476705,0.37599998712539673,0.3716247419,2.4
0.8004864216944915,0.45390069484710693,0.2903895198,3.4
0.8200718909173198,0.3571428656578064,0.4925397597,3.0
0.7022328710729053,0.23255813121795654,0.1804348798,2.0
0.8001421953540753,0.4789643883705139,0.3599851815,3.2
0.872287755625371,0.3170163035392761,0.3976355464,2.0
0.8140865294965017,0.30985915660858154,0.2415684658,3.0
0.7755532999415827,0.12389379739761353,0.074676839,1.2
0.7703750035850153,0.43855422735214233,0.4112466244,3.4
0.62786813390822,0.3132529854774475,0.2007881229,1.8
0.7846202433155957,0.30901288986206055,0.3390871445,3.6
0.7241953489118191,0.19999998807907104,0.2831101661,2.0
0.5187646602676514,0.41730278730392456,0.4666208313,2.4
0.8513170289531422,0.17877095937728882,0.3966194828,3.4
0.8029693940051278,0.3739376664161682,0.2813492111,3.0
0.7725481760419525,0.31020408868789673,0.2744401063,4.0
0.9071461672675543,0.38743454217910767,0.4966073659,4.0
0.8524518484734186,0.40441179275512695,0.5421721144,3.4
0.7997681179007442,0.39053255319595337,0.5350315204,3.4
0.8195942305852277,0.19209039211273193,0.1400125013,3.0
0.8086963704064281,0.30894309282302856,0.3972420638,2.0
0.9119326757425423,0.5543859601020813,0.5145464733,3.8
0.8374815682295403,0.4423676133155823,0.3448120523,3.4
0.6914042349911821,0.23853212594985962,0.2468640905,2.0
0.7984485123055609,0.394957959651947,0.4331856598,4.0
0.8415446553270659,0.5511363744735718,0.4846538671,3.2
0.557805843471152,0.19014084339141846,0.1336257208,2.2
0.6427793745867469,0.3640449643135071,0.3058701412,3.0
0.5867822633051205,0.3436293601989746,0.3146589712,2.0
0.6380600470894413,0.2909091114997864,0.2504032205,0.6
0.7900158647767366,0.30463576316833496,0.2352930891,3.2
0.7873178429809335,0.4716981053352356,0.274422876,3.6
0.7096668266451504,0.23780488967895508,0.2418231954,1.0
0.8457303731939965,0.2850000262260437,0.2234069876,1.8
0.7607312206755592,0.18556702136993408,0.1696906276,2.8
0.6900104321318543,0.17966902256011963,0.15842545,2.8
0.8137461035833169,0.25695931911468506,0.1643587566,1.8
0.6876912095113344,0.27272725105285645,0.1720465626,1.8
0.7976555350338919,0.49084246158599854,0.2275076721,2.6
0.5573362476810096,0.18099546432495117,0.1701199384,1.4
0.6941780079695961,0.26160335540771484,0.3744685238,3.0
0.45307332973020265,0.21808511018753052,0.1412293605,0.6
0.8371479224095358,0.31372547149658203,0.3562648246,1.8
0.7943758406777277,0.3800622820854187,0.3006454817,3.0
0.7884308417034812,0.39024388790130615,0.3789694792,3.0
0.8583420275575101,0.5163043737411499,0.6024844385,3.8
0.8039676459392767,0.2012578845024109,0.1815289751,2.4
0.7943839156196695,0.42474913597106934,0.3289807775,3.6
0.6721724428626414,0.43986254930496216,0.3607632179,2.8
0.8284794001863824,0.2988505959510803,0.3723767718,3.6
0.7730033683089802,0.40590405464172363,0.3433385103,3.0
0.5915632382128491,0.15699660778045654,0.1306077073,0.0
0.46578835398920765,0.09726440906524658,0.132389347,0.0
0.4962592272186961,0.16606497764587402,0.1915088814,0.2
0.36876856813488984,0.20936638116836548,0.1675336544,0.0
0.6268581453774345,0.11846691370010376,0.1003279282,0.2
0.553159224162066,0.2064896821975708,0.0882079458,0.2
0.7236696132413268,0.15668201446533203,0.3079085199,1.8
0.5799368037089353,0.16155987977981567,0.1643771735,1.4
0.5665426205851415,0.16083914041519165,0.1491531036,1.8
0.6883694222041855,0.24372762441635132,0.199473218,2.0
0.5348448409789766,0.18831169605255127,0.1013105788,0.0
0.6612236331979503,0.28688526153564453,0.2558277023,0.8
0.6446858764164479,0.29870128631591797,0.4364119908,2.2
0.6913214381331574,0.1269841194152832,0.1420173649,1.4
0.7650178143339215,0.29299360513687134,0.2326799127,1.8
0.8818514506647459,0.34666669368743896,0.207914156,3.0
0.8052617914017068,0.3354037404060364,0.2725306753,1.2
0.6328844041380243,0.18981480598449707,0.1287085768,0.2
0.5433089717365185,0.09912538528442383,0.1192665574,0.2
0.5124597772867513,0.15522390604019165,0.1043540686,0.6
0.5881849059856001,0.11522632837295532,0.0,0.2
0.439421848676411,0.1619718074798584,0.1139733814,0.2
0.528201197265366,0.11003237962722778,0.1251996596,0.0
0.6237675045973066,0.1854838728904724,0.0955902631,0.2
0.6120403067670136,0.1428571343421936,0.0600750787,0.2
0.6424286358980328,0.14772725105285645,0.095700129,2.0
0.7731980231689016,0.24927538633346558,0.2025195774,2.8
0.6702691353802847,0.18250948190689087,0.1718773312,2.0
0.9259089076589906,0.6143790483474731,0.3779359138,4.0
0.736694067091362,0.26923078298568726,0.2374678719,3.0
0.8357926411047971,0.3333333134651184,0.3070846236,3.2
0.7975664065816759,0.15151512622833252,0.2270351411,1.6
0.7056361786399081,0.28936171531677246,0.0760700763,2.4
0.7426751336892177,0.39834022521972656,0.3147637031,3.2
0.7409986552301153,0.06060606241226196,0.0924398767,1.8
